"location","county","date","visitor","algaeobserved","algalid","cyanobacteriadominant","toxinpresent","mcvalue","mcqualifier","cylvalue","cylqualifier","anavalue","anaqualifier","saxvalue","saxqualifier","nodvalue","nodqualifier","othertoxins","comments","datetime","latitude","longitude","sampledepth","picurl"
"Crescent Lake - mouth of Dunns Creek (CRESLM)","Putnam",2023-10-11,"SJRWMD","No","Co-dominant taxa were: Microcystis aeruginosa and Cylindrospermopsis raciborskii","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Overcast, cool",2023-10-11 13:52:00,29.52955556,-81.55372222,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7972/attachments/5248?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Stick Marsh - North (STKM)","IndianRiver",2023-10-11,"SJRWMD","No","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,2023-10-11 12:19:00,27.81073024,-80.72508775,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7973/attachments/5249?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Lake George - Center (LEO)","Volusia",2023-10-10,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Cool, partly cloudy",2023-10-10 12:41:00,29.30830556,-81.60638889,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7966/attachments/5232?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"St. Johns River - Mandarin Point (MP72)","Duval",2023-10-09,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,2023-10-09 15:48:00,30.15666667,-81.68388889,0.347,
"Doctors Lake - Center (DTL)","Clay",2023-10-09,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny, cool",2023-10-09 15:13:00,30.13805556,-81.72722222,0.32,
"St. Johns River - Shands Bridge (20030157)","StJohns",2023-10-09,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Cool, sunny, windy",2023-10-09 14:12:00,29.98163056,-81.62213889,0.319,
"Lake Rowena - near NE corner","Orange",2023-10-02,"CEROC","Yes","Dominant taxon: Microcystis aeruginosa","Yes","Yes",,,0.13,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: 0.13 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.); Nodularin-R: not detected; Saxitoxins: not detected","Overcast with light rain",2023-10-02 15:02:00,28.572617,-81.358388,0.25,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7915/attachments/5193?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Lake Jesup - Center (OW-CTR)","Seminole",2023-09-27,"SJRWMD","No","Co-dominant taxa were: Microcystis aeruginosa and Cylindrospermopsis raciborskii","Yes","Yes",,,2,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: 2.0; Nodularin-R: not detected; Saxitoxins: not detected","Overcast",2023-09-27 14:44:00,28.7268,-81.2111,0.3,
"Palatlakaha River - at marina","Lake",2023-09-27,"CEROC","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","No bloom observed. Aquatic vegetation present. ",2023-09-27 14:25:00,28.7591157613749,-81.8732843912049,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7908/attachments/5186?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Crescent Lake - mouth of Dunns Creek (CRESLM)","Putnam",2023-09-26,"SJRWMD","No","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,2023-09-26 15:17:00,29.52955556,-81.55372222,0.31,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7905/attachments/5185?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Lake Washington - Center (LWC)","Brevard",2023-09-26,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,2023-09-26 14:17:00,28.142439,-80.746111,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7903/attachments/5181?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Lake Monroe - Center (LMAC)","Volusia",2023-09-26,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Clear sunny",2023-09-26 13:35:00,28.83496,-81.27091,0.3,
"Lake George - Center (LEO)","Volusia",2023-09-26,"SJRWMD","No","Dominant taxon: Planktolyngbya limnetica","Yes","Yes",,,0.19,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: 0.19 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.); Nodularin-R: not detected; Saxitoxins: not detected",,2023-09-26 12:58:00,29.30830556,-81.60638889,0.311,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7904/attachments/5184?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Lake Minnehaha - E Dock","Orange",2023-09-25,"CEROC","Yes","Dominant taxon: Microcystis aeruginosa","Yes","Yes",,,0.14,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: 0.14 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.); Nodularin-R: not detected; Saxitoxins: not detected","Sunny. Algae specks observed throughout water column. Filamentous algae also observed forming mats on water surface.",2023-09-25 16:49:00,28.6321113146185,-81.3517112061032,0.2,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7900/attachments/5173?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Lake Howell - Center","Seminole",2023-09-25,"CEROC","Yes","Dominant taxon: Microcystis aeruginosa","Yes","Yes",,,0.17,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: 0.17 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.); Nodularin-R: not detected; Saxitoxins: not detected","Sunny. Green algae specks observed in water column throughout lake.",2023-09-25 15:32:00,28.6397661159213,-81.3086614022017,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7899/attachments/5170?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Lake Yale - south of center (HAB23AP4)","Lake",2023-09-25,"SJRWMD","No","Dominant taxon: Microcystis aeruginosa","Yes","Yes",,,0.32,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: 0.32 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.); Nodularin-R: not detected; Saxitoxins: not detected",,2023-09-25 15:18:00,28.9131677,-81.7331567,0.3,
"St. Johns River - Shands Bridge (20030157)","StJohns",2023-09-25,"SJRWMD","Yes","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Cloudy",2023-09-25 15:07:00,29.98163056,-81.62213889,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7898/attachments/5169?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Blue Cypress Lake - Center (BCL)","IndianRiver",2023-09-25,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,2023-09-25 14:24:00,27.7266,-80.7536,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7902/attachments/5179?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Doctors Lake - Pace Island dock","Clay",2023-09-25,"SJRWMD","Yes","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Cloudy",2023-09-25 14:02:00,30.1359439714929,-81.7215685045097,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7897/attachments/5168?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Doctors Lake - Center (DTL)","Clay",2023-09-25,"SJRWMD","No","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Cloudy",2023-09-25 13:50:00,30.13805556,-81.72722222,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7896/attachments/5167?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"St. Johns River - Mandarin Point (MP72)","Duval",2023-09-25,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Cloudy ",2023-09-25 13:20:00,30.15666667,-81.68388889,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7895/attachments/5166?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Stick Marsh - North (STKM)","IndianRiver",2023-09-25,"SJRWMD","No","mixed algae; no dominant species in sample","No","Yes",,,0.31,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: 0.31 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.); Nodularin-R: not detected; Saxitoxins: not detected",,2023-09-25 13:18:00,27.81054306,-80.72490087,0.3,
"Pioneer Lake - NE Shore","Volusia",2023-09-20,"CEROC","Yes","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","85 and sunny/windy",2023-09-20 15:43:00,28.8838120493918,-81.2420606949633,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7870/attachments/5153?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Lake Marian - Boat Ramp","Osceola",2023-09-20,"SEROC","No","Co-dominant taxa were: Microcystis aeruginosa and Microcystis wesenbergii","Yes","Yes",1.6,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Water green",2023-09-20 15:00:00,27.873009918874,-81.0519553807824,0.3,
"Georges Lake - Center","Putnam",2023-09-18,"SJRWMD","No","Co-dominant taxa were: Planktolyngbya limnetica and Cylindrospermopsis raciborskii","Yes","Yes",0.12,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,2023-09-18 13:25:00,29.7991168759041,-81.84906428105,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7840/attachments/5140?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Lake Washington - Center (LWC)","Brevard",2023-09-18,"SJRWMD","No","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","0-clear",2023-09-18 13:17:00,28.142439,-80.746111,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7845/attachments/5147?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Georges Lake - Boat Ramp","Putnam",2023-09-14,"NEROC","Yes","Co-dominant taxa were: Microcystis aeruginosa and Cylindrospermopsis raciborskii","Yes","Yes",0.2,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,2023-09-14 16:05:00,29.8023232723948,-81.8454339079608,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7828/attachments/5123?token=tnY2oYKmeSOlfKwiOgR1Gvf9el92ammjLAHKRh_vIRPIRMcBADUI0_-yJklzB03C187xKrZGrIM4AurUdtforGCExk1OI5st577P1qcsaNbyrb8D0-MXxwv8ORbW1v-HU7oEwNtaWN_z_oghgLZ24jYeNButlwrVDLmQUSaDAVddJa3FVKm6k-_f_MRH0WGm"
"Lake Monroe - Center (LMAC)","Volusia",2023-09-14,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny Hot",2023-09-14 15:25:00,28.83496,-81.27091,0.3,
"Lake Jesup - Center (OW-CTR)","Seminole",2023-09-14,"SJRWMD","No","Dominant taxon: Microcystis aeruginosa","Yes","Yes",,,1.4,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: 1.4; Nodularin-R: not detected; Saxitoxins: not detected","Sunny Hot",2023-09-14 14:32:00,28.7268,-81.2111,0.3,
