"location","county","date","visitor","algaeobserved","algalid","cyanobacteriadominant","toxinpresent","mcvalue","mcqualifier","cylvalue","cylqualifier","anavalue","anaqualifier","saxvalue","saxqualifier","nodvalue","nodqualifier","othertoxins","comments","datetime","latitude","longitude","sampledepth","picurl"
"Lake Pearl - Center ","Orange",2024-02-28,"County","Yes","Co-dominant taxa were: Microcystis aeruginosa and Pseudanabaena mucicola","Yes","No",1.6,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Small amount of algae aggregated near ramp (windblown). No apparent bloom in lake ",2024-02-28 16:00:00,28.541652,-81.533265,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8202/attachments/5561?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Blue Cypress Lake - Center (BCL)","IndianRiver",2024-02-27,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","0-clear",2024-02-27 14:29:00,27.7266,-80.7536,0.301,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8199/attachments/5553?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Stick Marsh - North (STKM)","IndianRiver",2024-02-27,"SJRWMD","No","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","No bloom observed",2024-02-27 14:20:00,27.81065,-80.724854,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8200/attachments/5556?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Lake Monroe - Center (LMAC)","Volusia",2024-02-27,"SJRWMD","No","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,2024-02-27 14:09:00,28.83496,-81.27091,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8201/attachments/5559?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Fellsmere Water Management Area - Center","IndianRiver",2024-02-27,"SJRWMD","Yes","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","0-clear",2024-02-27 13:20:00,27.79539305,-80.70460995,0.301,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8198/attachments/5550?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Lake Harris - East Central Shore","Lake",2024-02-22,"CEROC","Yes","Co-dominant taxa were: Microcystis aeruginosa and Cylindrospermopsis raciborskii","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Clear",2024-02-22 17:47:00,28.7840712778538,-81.7811839933698,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8194/attachments/5538?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Lake Jesup - Center (OW-CTR)","Seminole",2024-02-21,"SJRWMD","No","Dominant taxon: Cylindrospermopsis raciborskii","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Windy",2024-02-21 14:20:00,28.7268,-81.2111,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8192/attachments/5534?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Lake Washington - Center (LWC)","Brevard",2024-02-21,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,2024-02-21 13:45:00,28.142439,-80.746111,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8193/attachments/5535?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Lake Minnehaha - E Dock","Orange",2024-02-20,"CEROC","Yes","Dominant taxon: Microcystis aeruginosa","Yes","Yes",1.2,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny and windy",2024-02-20 17:57:00,28.6320811426385,-81.3516976118635,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8190/attachments/5528?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Lake Pearl - Park Dock","Orange",2024-02-20,"CEROC","Yes","Co-dominant taxa were: Microcystis aeruginosa and Pseudanabaena mucicola","Yes","Yes",1.4,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny and slight breeze",2024-02-20 16:15:00,28.5425926605506,-81.5316693485543,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8189/attachments/5525?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Lake Harris - East Central Shore","Lake",2024-02-15,"CEROC","Yes","Co-dominant taxa were: Microcystis aeruginosa and Cylindrospermopsis raciborskii","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Overcast",2024-02-15 16:45:00,28.775848028953,-81.7763881578787,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8186/attachments/5518?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Harris Bayou - Center (SNKLCA)","Lake",2024-02-14,"SJRWMD","No","Dominant taxon: Cylindrospermopsis raciborskii","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Clear skies with light breeze",2024-02-14 16:12:00,28.821611,-81.822889,0.3,
"Crescent Lake - mouth of Dunns Creek (CRESLM)","Putnam",2024-02-13,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Windy, sunny",2024-02-13 15:05:00,29.52955556,-81.55372222,0.307,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8176/attachments/5517?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Lake George - Center (LEO)","Volusia",2024-02-13,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Windy, cool, partly cloudy ",2024-02-13 14:07:00,29.30830556,-81.60638889,0.348,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8175/attachments/5516?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Lake Pearl - Park Dock","Orange",2024-02-12,"CEROC","Yes","Dominant taxon: Microcystis aeruginosa","Yes","Yes",3.4,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny and very windy. Algae specks observed throughout water column ",2024-02-12 16:43:00,28.5426456457721,-81.5316785483354,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8171/attachments/5507?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"St. Johns River - Shands Bridge (20030157)","StJohns",2024-02-12,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Windy, partly cloudy",2024-02-12 16:27:00,29.98163056,-81.62213889,0.348,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8169/attachments/5505?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Doctors Lake - Center (DTL)","Clay",2024-02-12,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Windy, partly cloudy",2024-02-12 15:02:00,30.13805556,-81.72722222,0.364,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8170/attachments/5506?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"St. Johns River - Mandarin Point (MP72)","Duval",2024-02-12,"SJRWMD","No","mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Windy, sunny",2024-02-12 14:43:00,30.15666667,-81.68388889,0.31,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8167/attachments/5503?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Cypress Lake - West Lobe","Orange",2024-02-07,"CEROC","Yes","Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny and windy",2024-02-07 16:42:00,28.4797016469435,-81.5702729657297,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8165/attachments/5500?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Lake Minnehaha - E Dock","Orange",2024-02-07,"CEROC","Yes","Dominant taxon: Microcystis aeruginosa","Yes","Yes",1.1,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny and windy ",2024-02-07 15:20:00,28.63207540091,-81.3517104574428,0.3,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/8164/attachments/5497?token=mzFcMRqhxzPAoRJavp2MJlE9sT6bNWXjX_pgvftsGpn1Ch6Kz4tiSG7WEDe7VZCuJenmBKNrRJ_A05V1jZujIlcwisxEVnzIPDkfsCCUTAridWW6Vaeb6Sj_ygspC9cedb35RJs0rOcZWHpZL9E_0NLIJX0zl4hekQwAL3umHFBt-OqFm_Bq8dJbSTf3ymqj"
"Lake Yale - Center","Lake",2024-02-07,"SJRWMD","Yes","Co-dominant taxa were: Microcystis aeruginosa and Cylindrospermopsis raciborskii","Yes","Yes",0.19,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Very windy, full sun ",2024-02-07 14:40:00,28.914365207765,-81.7379137897747,0.3,
