"location","datetime","date","latitude","longitude","county","visitor","algaeobserved","sampledepth","algalid","cyanobacteriadominant","toxinpresent","mcvalue","mcqualifier","cylvalue","cylqualifier","anavalue","anaqualifier","saxvalue","saxqualifier","nodvalue","nodqualifier","othertoxins","comments","picurl"
"Park Lake - W Shore",2023-08-07 13:30:00,2023-08-07,28.5548809708556,-81.3733840037315,"Orange","CEROC","Yes",0.2,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Sunny. Algae specks observed in water column","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7563/attachments/4751?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Doctors Lake - Mill Cove",2023-08-01 15:35:00,2023-08-01,30.1250923147393,-81.727492816033,"Clay","NEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7537/attachments/4693?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Swimming Pen Creek - Whiteys Fish Camp",2023-08-01 15:15:00,2023-08-01,30.100959454294,-81.7467159216842,"Clay","NEROC","Yes",0.31,"Co-dominant taxa were: Microcystis aeruginosa and Microcystis wesenbergii","Yes","Yes",0.28,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7536/attachments/4690?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Doctor’s Lake - Catfish Point",2023-08-01 14:50:00,2023-08-01,30.1199620521893,-81.7475580175012,"Clay","NEROC","Yes",0.3,"Co-dominant taxa were: Microcystis aeruginosa and Microcystis wesenbergii","Yes","Yes",0.38,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Odor present at sample site location.","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7535/attachments/4687?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Doctors Lake - 1915 Salt Myrtle Lane",2023-08-01 14:25:00,2023-08-01,30.1249727645408,-81.7172556299817,"Clay","NEROC","Yes",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Odor present at sample site location.","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7534/attachments/4684?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Rowena - near NE corner",2023-07-31 15:07:00,2023-07-31,28.5726584599013,-81.3583907254869,"Orange","CEROC","Yes",0.3,"Co-dominant taxa were: Microcystis aeruginosa and Microcystis wesenbergii","Yes","Yes",,,0.3,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: 0.30 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.); Nodularin-R: not detected; Saxitoxins: not detected","85 and cloudy","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7530/attachments/4675?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Pioneer Lake - N Shore",2023-07-31 13:54:00,2023-07-31,28.8839501972507,-81.24274950498,"Volusia","CEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",2.1,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","80 and cloudy ","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7529/attachments/4672?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Washington - Center (LWC)",2023-07-31 13:41:00,2023-07-31,28.142439,-80.746111,"Brevard","SJRWMD","No",0.299,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7533/attachments/4682?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Bull Creek - near Boat Ramp",2023-07-31 13:26:00,2023-07-31,29.4235535540947,-81.4359426897397,"Flagler","SJRWMD","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Cloudy, humid","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7532/attachments/4681?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Doctors Lake - end of Lawrence Rd",2023-07-27 17:45:00,2023-07-27,30.12992417267,-81.7520347664125,"Clay","NEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",0.45,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7520/attachments/4657?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Doctors Lake - Lake Shore boat ramp (HAB23PK20)",2023-07-27 16:55:00,2023-07-27,30.1230994900404,-81.7273486220406,"Clay","SJRWMD","Yes",0.3,"Co-dominant taxa were: Microcystis aeruginosa and Dolichospermum circinale","Yes","Yes",1.9,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Partly cloudy, no rain. Noticeable smell. ","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7522/attachments/4662?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Doctors Lake - at Catfish point (HAB23PK19)",2023-07-27 13:40:00,2023-07-27,30.1181234512759,-81.749008242117,"Clay","SJRWMD","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",1.1,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Partly cloudy, no rain. Strong smell","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7521/attachments/4660?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Monroe - Center (LMAC)",2023-07-27 13:40:00,2023-07-27,28.83496,-81.27091,"Volusia","SJRWMD","No",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Overcast",
"Lake Minnehaha - E Dock",2023-07-26 14:22:00,2023-07-26,28.6320847501568,-81.3517050475983,"Orange","CEROC","Yes",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",0.31,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","85 and cloudy","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7499/attachments/4638?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Marian - Boat Ramp",2023-07-26 13:45:00,2023-07-26,27.8728368863999,-81.0519900979362,"Osceola","SEROC","No",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",2.3,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7496/attachments/4633?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Cedar River - end of Mardis Pl E",2023-07-26 13:40:00,2023-07-26,30.2900128865883,-81.7429517081792,"Duval","NEROC","Yes",0.3,"Dominant taxon: Chlamydomonas sp.","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Not very green","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7495/attachments/4631?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake Jesup - Center (OW-CTR)",2023-07-26 13:34:00,2023-07-26,28.7268,-81.2111,"Seminole","SJRWMD","No",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","Yes",,,0.22,"I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.)",,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: 0.22 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.); Nodularin-R: not detected; Saxitoxins: not detected","Sunny-No windE",
"Crescent Lake - mouth of Dunns Creek (CRESLM)",2023-07-25 15:40:00,2023-07-25,29.52955556,-81.55372222,"Putnam","SJRWMD","No",0.3,"Dominant taxon: Microcystis aeruginosa","Yes","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected",,"https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7479/attachments/4616?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"St. Johns River - at Turkey Island channel marker 44 (HAB23PK18)",2023-07-25 14:35:00,2023-07-25,29.4969183897107,-81.6847734990104,"Putnam","SJRWMD","Yes",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Partly cloudy, no rain ","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7478/attachments/4614?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
"Lake George - Center (LEO)",2023-07-25 12:48:00,2023-07-25,29.30830556,-81.60638889,"Volusia","SJRWMD","Yes",0.3,"mixed algae; no dominant species in sample","No","No",,,,,,,,,,,"Anatoxin-a: not detected; Cylindrospermopsin: not detected; Nodularin-R: not detected; Saxitoxins: not detected","Partly cloudy, no rain


","https://services1.arcgis.com/nRHtyn3uE1kyzoYc/ArcGIS/rest/services/service_c1026ff3b55f468d9f2edd834cb807f8/FeatureServer/0/7477/attachments/4613?token=JCe8tuF1KMtEvlYb_wKko4bYR01Q9faZFf7bPDvLPOmoePr4wKFNXYPnt14rHzXOmeD0N0o5m-BYufNF3pyEf9bWYai8fGf3Lb4EzcwcUsODKWrQb3RaHXomNo-PGV2Dy-h8LuyYvuKo6opAtg2bFLK01ScAVsx4vX4_nmWaQHgMQVArqidVWnOBczXNWsOz"
